排名,学校名称,省份,城市,标签
1,清华大学,北京,北京,985+211
2,北京大学,北京,北京,985+211
3,浙江大学,浙江,杭州,985+211
4,上海交通大学,上海,上海,985+211
5,复旦大学,上海,上海,985+211
6,南京大学,江苏,南京,985+211
7,中国科学技术大学,安徽,合肥,985+211
8,华中科技大学,湖北,武汉,985+211
9,武汉大学,湖北,武汉,985+211
10,西安交通大学,陕西,西安,985+211
11,中山大学,广东,广州,985+211
12,四川大学,四川,成都,985+211
13,哈尔滨工业大学,黑龙江,哈尔滨,985+211
14,北京航空航天大学,北京,北京,985+211
15,东南大学,江苏,南京,985+211
16,北京理工大学,北京,北京,985+211
17,同济大学,上海,上海,985+211
18,中国人民大学,北京,北京,985+211
19,北京师范大学,北京,北京,985+211
20,南开大学,天津,天津,985+211
21,天津大学,天津,天津,985+211
22,山东大学,山东,济南,985+211
23,中南大学,湖南,长沙,985+211
24,厦门大学,福建,厦门,985+211
25,西北工业大学,陕西,西安,985+211
26,华南理工大学,广东,广州,985+211
27,吉林大学,吉林,长春,985+211
28,电子科技大学,四川,成都,985+211
29,湖南大学,湖南,长沙,985+211
30,重庆大学,重庆,重庆,985+211
31,兰州大学,甘肃,兰州,985+211
32,东北大学,辽宁,沈阳,985+211
33,大连理工大学,辽宁,大连,985+211
34,中国农业大学,北京,北京,985+211
35,华东师范大学,上海,上海,985+211
50,中国海洋大学,山东,青岛,985+211
63,西北农林科技大学,陕西,咸阳,985+211
232,中央民族大学,北京,北京,985+211
,国防科技大学,湖南,长沙,985+211
36,北京科技大学,北京,北京,211
37,武汉理工大学,湖北,武汉,211
38,南京理工大学,江苏,南京,211
39,北京交通大学,北京,北京,211
40,西南交通大学,四川,成都,211
41,暨南大学,广东,广州,211
42,华东理工大学,上海,上海,211
43,苏州大学,江苏,苏州,211
44,南京航空航天大学,江苏,南京,211
45,中国石油大学（北京）,北京,北京,211
46,郑州大学,河南,郑州,211
47,中国地质大学（武汉）,湖北,武汉,211
48,南京农业大学,江苏,南京,211
49,华中师范大学,湖北,武汉,211
51,南京师范大学,江苏,南京,211
52,哈尔滨工程大学,黑龙江,哈尔滨,211
53,河海大学,江苏,南京,211
54,西北大学,陕西,西安,211
55,北京邮电大学,北京,北京,211
56,上海大学,上海,上海,211
57,福州大学,福建,福州,211
58,合肥工业大学,安徽,合肥,211
60,中国石油大学（华东）,山东,青岛,211
61,湖南师范大学,湖南,长沙,211
62,陕西师范大学,陕西,西安,211
64,中国矿业大学,江苏,徐州,211
65,北京化工大学,北京,北京,211
66,南昌大学,江西,南昌,211
67,华北电力大学,北京,北京,211
69,华南师范大学,广东,广州,211
70,云南大学,云南,昆明,211
71,太原理工大学,山西,太原,211
74,上海财经大学,上海,上海,211
76,北京工业大学,北京,北京,211
82,对外经济贸易大学,北京,北京,211
85,河北工业大学,河北,天津,211
87,长安大学,陕西,西安,211
89,安徽大学,安徽,合肥,211
92,中央财经大学,北京,北京,211
92,西南大学,重庆,重庆,211
93,北京外国语大学,北京,北京,211
93,北京林业大学,北京,北京,211
104,上海外国语大学,上海,上海,211
110,中国传媒大学,北京,北京,211
120,华中农业大学,湖北,武汉,211
147,西南财经大学,四川,成都,211
150,中南财经政法大学,湖北,武汉,211
152,中国政法大学,北京,北京,211
168,东华大学,上海,上海,211
170,江南大学,江苏,无锡,211
180,广西大学,广西,南宁,211
182,海南大学,海南,海口,211
184,贵州大学,贵州,贵阳,211
186,延边大学,吉林,延吉,211
188,内蒙古大学,内蒙古,呼和浩特,211
190,宁夏大学,宁夏,银川,211
192,新疆大学,新疆,乌鲁木齐,211
194,青海大学,青海,西宁,211
196,石河子大学,新疆,石河子,211
198,西藏大学,西藏,拉萨,211
208,东北师范大学,吉林,长春,211
210,东北林业大学,黑龙江,哈尔滨,211
212,东北农业大学,黑龙江,哈尔滨,211
216,大连海事大学,辽宁,大连,211
218,辽宁大学,辽宁,沈阳,211
222,宁波大学,浙江,宁波,211
224,四川农业大学,四川,雅安,211
230,北京体育大学,北京,北京,211
234,中央音乐学院,北京,北京,211
236,中国药科大学,江苏,南京,211
238,天津医科大学,天津,天津,211
240,北京中医药大学,北京,北京,211
244,中国地质大学（北京）,北京,北京,211
246,中国矿业大学（北京）,北京,北京,211
,海军军医大学,上海,上海,211
,空军军医大学,陕西,西安,211
