university_name,major_name,avg_rate,count
杭州电子科技大学,物联网工程,1.0,15
杭州电子科技大学,电子与通信工程,3.5,30
杭州电子科技大学,车辆工程,6.0,15
杭州电子科技大学,海洋与船港机械装备技术,6.0,15
杭州电子科技大学,统计学（理学院）,6.0,15
杭州电子科技大学,市场营销,8.0,15
杭州电子科技大学,工程管理,8.0,15
杭州电子科技大学,审计,8.0,15
杭州电子科技大学,项目管理,8.0,15
杭州电子科技大学,统计学（经济学院）,9.0,15
杭州电子科技大学,能源机械装备及其自动化,9.0,15
杭州电子科技大学,审计学,9.5,30
杭州电子科技大学,电气工程,10.0,15
杭州电子科技大学,物流工程与管理,10.0,15
杭州电子科技大学,社会管理科学与工程,10.0,15
杭州电子科技大学,保密管理,15.0,15
杭州电子科技大学,国际经济与贸易,15.0,15
杭州电子科技大学,仪器科学与技术,15.0,15
杭州电子科技大学,经济学,16.0,15
杭州电子科技大学,社会学,16.0,15
杭州电子科技大学,国际商务,16.0,15
杭州电子科技大学,金融,16.0,15
杭州电子科技大学,汉语国际教育,16.5,30
杭州电子科技大学,工业工程,16.5,30
杭州电子科技大学,环境监测与控制,17.0,15
杭州电子科技大学,艺术,17.0,15
杭州电子科技大学,应用经济学,19.0,15
杭州电子科技大学,应用统计,19.0,15
杭州电子科技大学,生物医学工程,23.5,30
杭州电子科技大学,财务管理,24.0,15
杭州电子科技大学,工业工程与管理,24.0,15
杭州电子科技大学,数学与应用数学,25.0,15
杭州电子科技大学,机械,25.0,15
杭州电子科技大学,网络工程,26.0,15
杭州电子科技大学,物理学,28.0,15
杭州电子科技大学,工商管理,28.5,30
杭州电子科技大学,人力资源管理,29.0,15
杭州电子科技大学,医学信息工程,29.0,15
杭州电子科技大学,英语语言文学,29.0,15
杭州电子科技大学,环境工程,30.0,15
杭州电子科技大学,管理科学与工程,30.0,15
杭州电子科技大学,马克思主义理论,32.0,15
杭州电子科技大学,工业设计,37.0,15
杭州电子科技大学,集成电路工程,38.0,15
杭州电子科技大学,集成电路设计与集成系统,38.5,30
杭州电子科技大学,计算机技术（圣光机联合学院）,39.0,15
杭州电子科技大学,材料科学与工程,39.5,30
杭州电子科技大学,光电信息科学与工程,45.0,15
杭州电子科技大学,信息与通信工程,47.0,15
杭州电子科技大学,数字媒体技术,48.5,30
杭州电子科技大学,会计,49.0,15
杭州电子科技大学,会计学,50.0,45
东北大学,安全技术及工程,50.0,6
安徽文达信息工程学院,应用电子技术,51.8,15
郑州工业应用技术学院,服装与服饰设计,54.6,15
杭州电子科技大学,新一代电子信息技术,55.0,15
安徽文达信息工程学院,游戏设计,55.0,15
杭州电子科技大学,软件工程,57.0,30
杭州电子科技大学,控制工程,58.0,15
杭州电子科技大学,网络空间安全,59.0,30
郑州工业应用技术学院,财务管理,59.1,15
